Depth,Lithology_values,Lithology
2617,3010,unknown
2618,3010,unknown
2619,3010,unknown
2620,3010,unknown
2621,3010,unknown
2622,3010,unknown
2623,3010,unknown
2624,3010,unknown
2625,3010,unknown
2626,3010,unknown
2627,3010,unknown
2628,3010,unknown
2629,3010,unknown
2630,3010,unknown
2631,3010,unknown
2632,3010,unknown
2633,3010,unknown
2634,3010,unknown
2635,3010,unknown
2636,3010,unknown
2637,3010,unknown
2638,3010,unknown
2639,3010,unknown
2640,3010,unknown
2641,3010,unknown
2642,3010,unknown
2643,3010,unknown
2644,3010,unknown
2645,3010,unknown
2646,3010,unknown
2647,3010,unknown
2648,3010,unknown
2649,3010,unknown
2650,3010,unknown
2651,3010,unknown
2652,3010,unknown
2653,3010,unknown
2654,3010,unknown
2655,3010,unknown
2656,3010,unknown
2657,3010,unknown
2658,3010,unknown
2659,3010,unknown
2660,3010,unknown
2661,3010,unknown
2662,3010,unknown
2663,3010,unknown
2664,3010,unknown
2665,3010,unknown
2666,3010,unknown
2667,3010,unknown
2668,3010,unknown
2669,3010,unknown
2670,3010,unknown
2671,3010,unknown
2672,3010,unknown
2673,3010,unknown
2674,3010,unknown
2675,3010,unknown
2676,3010,unknown
2677,3010,unknown
2678,3010,unknown
2679,3010,unknown
2680,3010,unknown
2681,3010,unknown
2682,3010,unknown
2683,3010,unknown
2684,3010,unknown
2685,3010,unknown
2686,3010,unknown
2687,3010,unknown
2688,3010,unknown
2689,3010,unknown
2690,3010,unknown
2691,3010,unknown
2692,3010,unknown
2693,3010,unknown
2694,3010,unknown
2695,3010,unknown
2696,3010,unknown
2697,3010,unknown
2698,3010,unknown
2699,3010,unknown
2700,3010,unknown
2701,3010,unknown
2702,3010,unknown
2703,3010,unknown
2704,3010,unknown
2705,3010,unknown
2706,3010,unknown
2707,3010,unknown
2708,3010,unknown
2709,3010,unknown
2710,3010,unknown
2711,3010,unknown
2712,3010,unknown
2713,3010,unknown
2714,3010,unknown
2715,3010,unknown
2716,3010,unknown
2717,3010,unknown
2718,3010,unknown
2719,3010,unknown
2720,3010,unknown
2721,3010,unknown
2722,3010,unknown
2723,3010,unknown
2724,3010,unknown
2725,3010,unknown
2726,3010,unknown
2727,3010,unknown
2728,3010,unknown
2729,3010,unknown
2730,3010,unknown
2731,3010,unknown
2732,3010,unknown
2733,3010,unknown
2734,3010,unknown
2735,3010,unknown
2736,3010,unknown
2737,3010,unknown
2738,3010,unknown
2739,3010,unknown
2740,3010,unknown
2741,3010,unknown
2742,3010,unknown
2743,3010,unknown
2744,3010,unknown
2745,3010,unknown
2746,3010,unknown
2747,3010,unknown
2748,3010,unknown
2749,3010,unknown
2750,3010,unknown
2751,3010,unknown
2752,3010,unknown
2753,3010,unknown
2754,3010,unknown
2755,3010,unknown
2756,3010,unknown
2757,3010,unknown
2758,3010,unknown
2759,3010,unknown
2760,3010,unknown
2761,3010,unknown
2762,3010,unknown
2763,3010,unknown
2764,3010,unknown
2765,3010,unknown
2766,3010,unknown
2767,3010,unknown
2768,3010,unknown
2769,3010,unknown
2770,3010,unknown
2771,3010,unknown
2772,3010,unknown
2773,3010,unknown
2774,3010,unknown
2775,3010,unknown
2776,3010,unknown
2777,3010,unknown
2778,3010,unknown
2779,3010,unknown
2780,3010,unknown
2781,3010,unknown
2782,3010,unknown
2783,3010,unknown
2784,3010,unknown
2785,3010,unknown
2786,3010,unknown
2787,3010,unknown
2788,3010,unknown
2789,3010,unknown
2790,3010,unknown
2791,3010,unknown
2792,3010,unknown
2793,3010,unknown
2794,3010,unknown
2795,3010,unknown
2796,3010,unknown
2797,3010,unknown
2798,3010,unknown
2799,3010,unknown
2800,3010,unknown
2801,3010,unknown
2802,3010,unknown
2803,3010,unknown
2804,3010,unknown
2805,3010,unknown
2806,3010,unknown
2807,3010,unknown
2808,3010,unknown
2809,3010,unknown
2810,3010,unknown
2811,3010,unknown
2812,3010,unknown
2813,3010,unknown
2814,3010,unknown
2815,3010,unknown
2816,3010,unknown
2817,3010,unknown
2818,3010,unknown
2819,3010,unknown
2820,3010,unknown
2821,3010,unknown
2822,3010,unknown
