DEPTH,GR,NPHI,RHOB,RT,DT
188.5,4.3,,,,0.0
188.6,3.801,,,,0.0
188.7,4.301,,,,0.0
188.8,4.6,,,,0.0
188.9,4.599,,,,0.0
189.0,4.299,,,,0.0
189.1,3.801,,,,0.0
189.2,4.101,,,,0.0
189.3,4.302,,,,0.0
189.4,5.201,,,,0.0
189.5,5.699,,,,0.0
189.6,5.298,,,,0.0
189.7,4.597,,,,0.0
189.8,3.503,,,,0.0
189.9,4.502,,,,0.0
190.0,5.097,,,,0.0
190.1,4.1,,,,0.0
190.2,4.003,,,,0.0
190.3,5.102,,,,0.0
190.4,,,,,0.0
190.5,,,,,0.0
190.6,,,,,0.0
190.7,,,,,0.0
190.8,,,,,0.0
190.9,,,,,0.0
191.0,,,,,0.0
191.1,,,,,0.0
191.2,,,,,0.0
191.3,,,,,0.0
191.4,,,,,0.0
191.5,,,,,0.0
191.6,,,,,0.0
191.7,,,,,0.0
191.8,,,,,0.0
191.9,,,,,0.0
192.0,,,,,0.0
192.1,,,,,0.0
192.2,,,,,0.0
192.3,,,,,0.0
192.4,,,,,0.0
192.5,,,,,0.0
192.6,,,,,0.0
192.7,,,,,0.0
192.8,,,,,0.0
192.9,,,,,0.0
193.0,,,,,0.0
193.1,,,,,0.0
193.2,,,,,0.0
193.3,,,,,0.0
193.4,,,,,0.0
193.5,,,,,0.0
193.6,,,,,0.0
193.7,,,,,0.0
193.8,,,,,0.0
193.9,,,,,0.0
194.0,,,,,0.0
194.1,,,,,0.0
194.2,5.699,,,,0.0
194.3,5.401,,,,0.0
194.4,5.7,,,,0.0
194.5,5.799,,,,0.0
194.6,5.598,,,,0.0
194.7,4.899,,,,0.0
194.8,4.602,,,,0.0
194.9,5.402,,,,0.0
195.0,6.296,,,,0.0
195.1,4.894,,,,0.0
195.2,2.6,,,,0.0
195.3,2.602,,,,0.0
195.4,3.301,,,,0.0
195.5,3.601,,,,0.0
195.6,4.102,,,,0.0
195.7,4.799,,,,0.0
195.8,4.399,,,,0.0
195.9,3.9,,,,0.0
196.0,3.8,,,,0.0
196.1,3.701,,,,0.0
196.2,3.901,,,,0.0
196.3,4.3,,,,0.0
196.4,4.4,,,,0.0
196.5,4.499,,,,0.0
196.6,4.201,,,,0.0
196.7,4.501,,,,0.0
196.8,4.9,,,,0.0
196.9,4.799,,,,0.0
197.0,4.502,,,,0.0
197.1,5.099,,,,0.0
197.2,4.703,,,,0.0
197.3,5.802,,,,0.0
197.4,6.499,,,,0.0
197.5,6.098,,,,0.0
197.6,5.197,,,,0.0
197.7,4.002,,,,0.0
197.8,4.802,,,,0.0
197.9,5.599,,,,0.0
198.0,5.299,,,,0.0
198.1,5.099,,,,0.0
198.2,4.697,,,,0.0
198.3,3.5,,,,0.0
198.4,3.403,,,,0.0
198.5,4.501,,,,0.0
198.6,4.898,,,,0.0
198.7,4.199,,,,0.0
198.8,3.899,,,,0.0
198.9,3.7,,,,0.0
199.0,3.602,,,,0.0
199.1,4.402,,,,0.0
199.2,4.999,,,,0.0
199.3,4.699,,,,0.0
199.4,4.499,,,,0.0
199.5,3.998,,,,0.0
199.6,3.401,,,,0.0
199.7,3.902,,,,0.0
199.8,4.5,,,,0.0
199.9,4.601,,,,0.0
200.0,4.898,,,,0.0
200.1,4.094,,,,0.0
200.2,2.101,,,,0.0
200.3,2.606,,,,0.0
200.4,4.801,,,,0.0
200.5,5.0,,,,0.0
200.6,5.0,,,,0.0
200.7,5.0,,,,0.0
200.8,5.0,,,,0.0
200.9,5.0,,,,0.0
201.0,5.101,,,,0.0
201.1,5.299,,,,0.0
201.2,4.899,,,,0.0
201.3,4.501,,,,0.0
201.4,4.802,,,,0.0
201.5,5.4,,,,0.0
201.6,5.501,,,,0.0
201.7,5.9,,,,0.0
201.8,6.001,,,,0.0
201.9,6.501,,,,0.0
202.0,6.797,,,,0.0
202.1,5.794,,,,0.0
202.2,3.799,,,,0.0
202.3,3.496,,,,0.0
202.4,1.899,,,,0.0
202.5,1.501,,,,0.0
202.6,1.701,,,,0.0
202.7,1.9,,,,0.0
202.8,1.901,,,,0.0
202.9,2.1,,,,0.0
203.0,2.201,,,,0.0
203.1,2.701,,,,0.0
203.2,3.0,,,,0.0
203.3,2.9,,,,0.0
203.4,2.8,,,,0.0
203.5,2.799,,,,0.0
203.6,2.4,,,,0.0
203.7,2.303,,,,0.0
203.8,3.305,,,,0.0
203.9,5.201,,,,0.0
204.0,5.4,,,,0.0
204.1,5.4,,,,0.0
204.2,5.401,,,,0.0
204.3,5.602,,,,0.0
204.4,6.401,,,,0.0
204.5,6.599,,,,0.0
204.6,6.399,,,,0.0
204.7,6.201,,,,0.0
204.8,6.403,,,,0.0
204.9,7.501,,,,0.0
205.0,7.898,,,,0.0
205.1,7.192,,,,0.0
205.2,4.298,,,,0.0
205.3,3.701,,,,0.0
205.4,3.901,,,,0.0
205.5,4.401,,,,0.0
205.6,4.801,,,,0.0
205.7,5.101,,,,0.0
205.8,5.302,,,,0.0
205.9,6.0,,,,0.0
206.0,6.102,,,,0.0
206.1,6.898,,,,0.0
206.2,6.299,,,,0.0
206.3,6.003,,,,0.0
206.4,6.999,,,,0.0
206.5,6.8,,,,0.0
206.6,6.702,,,,0.0
206.7,7.605,,,,0.0
206.8,9.305,,,,0.0
206.9,11.1,,,,0.0
207.0,10.996,,,,0.0
207.1,9.697,,,,0.0
207.2,8.695,,,,0.0
207.3,6.901,,,,0.0
207.4,7.298,,,,0.0
207.5,6.601,,,,0.0
207.6,6.902,,,,0.0
207.7,7.499,,,,0.0
207.8,7.302,,,,0.0
207.9,8.099,,,,0.0
208.0,7.799,,,,0.0
208.1,7.601,,,,0.0
208.2,7.902,,,,0.0
208.3,8.5,,,,0.0
208.4,8.4,,,,0.0
208.5,8.5,,,,0.0
208.6,8.501,,,,0.0
208.7,8.798,,,,0.0
208.8,7.999,,,,0.0
208.9,7.602,,,0.3,0.0
209.0,8.201,,,1.0,0.0
209.1,8.499,,,0.8,0.0
209.2,8.302,,,0.8,0.0
209.3,9.1,,,0.4,0.0
209.4,9.102,,,0.9,0.0
209.5,9.799,,,0.4,0.0
209.6,9.602,,,0.3,0.0
209.7,10.504,,,0.4,0.0
209.8,11.906,,,0.4,0.0
209.9,14.204,,,0.4,0.0
210.0,15.602,,,0.3,0.0
210.1,16.401,,,0.4,0.0
210.2,16.899,,,0.4,0.0
210.3,16.594,,,0.3,0.0
210.4,14.597,,,0.4,0.0
210.5,13.602,,,0.5,0.0
210.6,14.403,,,0.4,0.0
210.7,15.404,,,0.4,0.0
210.8,16.901,,,0.4,0.0
210.9,17.302,,,0.4,0.0
211.0,18.001,,,0.5,0.0
211.1,18.197,,,0.6,0.0
211.2,16.996,,,0.4,0.0
211.3,15.496,,,0.4,0.0
211.4,13.898,,,0.3,0.0
211.5,13.097,,,0.5,0.0
211.6,12.1,,,0.3,0.0
211.7,12.096,,,0.2,0.0
211.8,10.601,,,0.2,0.0
211.9,10.9,,,0.2,0.0
212.0,10.898,,,0.4,0.0
