DEPTH,GR,NPHI,RHOB,RT,DT
239.8776,,,,0.10149999,
240.03,,,,0.1,
240.1824,,,,0.1,
240.3348,,,,0.1,
240.4872,20.9848003,,,0.1,
240.6396,20.9848003,,,0.1,
240.792,20.8668994,,,0.1,
240.9444,21.6921005,,,0.1,
241.0968,22.6352996,,,0.15469999,
241.2492,23.4211997,,,0.15469999,
241.4016,22.7530994,,,0.1,
241.554,22.0851001,,,0.1,
241.7064,20.7882995,,,0.1518,
241.8588,20.0023002,,,0.1518,
242.0112,18.7054996,,,0.1,
242.1636,16.8584995,,,0.1,
242.316,15.9153995,,,0.2518,
242.4684,15.9153995,,,0.21879999,
242.6208,18.9412994,,,0.1,
242.7732,21.4563007,,,0.1,
242.9256,22.9888992,,,0.1,
243.078,23.1068,,,0.1,
243.2304,21.1420001,,,0.1,
243.3828,19.1770992,,,0.1,
243.5352,17.4873008,,,0.1,
243.6876,18.3910999,,,0.1,
243.84,19.9629993,,,0.28319999,
243.9924,21.8099994,,,0.1,
244.1448,22.8710002,,,0.2307,
244.2972,22.7530994,,,0.1,
244.4496,21.2991008,,,0.24089999,
244.602,19.8451004,,,0.1,
244.7544,20.3560009,,,0.1,
244.9068,21.9279003,,,0.1,
245.0592,22.3208999,,,700,
245.2116,21.5741996,,,0.181099999,
245.364,20.7882995,,,0.28159999,
245.5164,21.0634002,,,0.1,
245.6688,22.2423,,,0.1437,
245.8212,20.9454994,,,0.1858,
245.9736,19.0984992,,,0.1,
246.126,17.5265998,,,0.1,
246.2784,18.6662006,,,0.26969999,
246.4308,20.5132007,,,0.2732,
246.5832,21.1420001,,,0.23199999,
246.7356,21.1420001,,,0.27990001,
246.888,21.5349006,,,0.1,
247.0404,22.2029991,,,0.26069998,
247.1928,22.5958995,,,0.10289999,
247.3452,23.4997997,,,0.1,
247.4976,22.7138004,,,0.28459998,
247.65,22.7138004,,,0.24369999,
247.8024,20.9062004,,,0.1,
247.9548,20.9062004,,,0.1973,
248.1072,20.1595001,,,0.1,
248.2596,19.2164001,,,0.24089999,
248.412,18.5482997,,,0.1,
248.5644,17.6051998,,,0.2863,
248.7168,17.9981994,,,0.2879,
248.8692,18.1553993,,,0.26859998,
249.0216,17.6445007,,,0.23829999,
249.174,16.3477001,,,0.2053,
249.3264,15.2867002,,,0.1,
249.4788,15.2867002,,,0.30129998,
249.6312,15.2867002,,,0.1,
249.7836,15.1295003,,,0.43110001,
249.936,14.9722995,,,0.1123,
250.0884,15.7581996,,,0.51410001,
250.2408,15.6402997,,,0.1647,
250.3932,16.465599,,,0.19689999,
250.5456,15.9153995,,,0.19589999,
250.698,15.9153995,,,0.1905,
250.8504,16.4263,,,0.1709,
251.0028,17.6445007,,,0.14059999,
251.1552,17.9195995,,,0.1524,
251.3076,16.7406997,,,0.10289999,
251.46,15.7974996,,,0.13799999,
251.6124,16.5834999,,,0.15449999,
251.7648,16.1905002,,,0.16009999,
251.9172,16.9764003,,,0.17209999,
252.0696,17.6445007,,,0.1823,
252.222,19.2164001,,,0.18469999,
252.3744,20.5132007,,,0.13889999,
252.5268,21.0240993,,,0.18619999,
252.6792,22.8316993,,,0.22429999,
252.8316,21.9279003,,,0.21649999,
252.984,20.1987991,,,0.2601,
253.1364,17.6051998,,,0.25350001,
253.2888,17.4873008,,,0.2504,
253.4412,18.1553993,,,0.30009999,
253.5936,18.9412994,,,0.2881,
253.746,19.2164001,,,0.33889999,
253.8984,19.6093997,,,0.34909999,
254.0508,20.9062004,,,0.28529998,
254.2032,20.9062004,,,0.32109999,
254.3556,20.7882995,,,0.2933,
254.508,20.0023002,,,0.26629999,
254.6604,19.2164001,,,1.20700001,
254.8128,19.334299,,,1.23769998,
254.9652,20.5132007,,,1.27119994,
255.1176,21.8099994,,,1.25929999,
255.27,23.9321002,,,1.33529996,
255.4224,24.8358993,,,1.23660004,
255.5748,26.2898998,,,1.22780001,
255.7272,25.8575992,,,1.59759998,
255.8796,25.3467998,,,1.76950001,
256.032,26.5256996,,,1.86319994,
256.1844,27.8617992,,,2.05040001,
256.3368,29.5515995,,,1.11790001,
256.4892,30.3374996,,,1.12670004,
256.6416,30.3374996,,,0.97600001,
256.794,28.8048992,,,0.98519998,
256.9464,25.3859996,,,1.1042,
257.0988,22.8710002,,,1.21749997,
257.2512,22.3208999,,,1.3808,
257.4036,24.5608005,,,1.31239998,
257.556,27.8617992,,,1.36109995,
257.7084,29.9444999,,,1.29089999,
257.8608,29.5123004,,,1.43879997,
258.0132,30.1410007,,,1.30760002,
258.1656,32.8917999,,,2.2256999,
258.318,35.7998008,,,2.82590007,
258.4704,38.0397987,,,4.53560018,
258.6228,39.2187004,,,3.64249992,
258.7752,40.7905998,,,3.18210005,
258.9276,40.2797012,,,2.32999992,
259.08,38.3148002,,,2.07380008,
259.2324,36.9786987,,,2.41160011,
259.3848,37.8825988,,,2.54959988,
259.5372,38.9435997,,,2.79800009,
259.6896,41.458599,,,1.69459998,
259.842,43.5806999,,,1.40980005,
259.9944,47.1174011,,,1.57130002,
260.1468,46.331501,,,1.69350004,
260.2992,43.5414009,,,2.04399991,
260.4516,42.6375999,,,2.39330005,
260.604,45.1133003,,,2.46230006,
260.7564,46.7244987,,,2.27270007,
260.9088,46.0564002,,,2.25230002,
