DEPTH,GR,NPHI,RHOB,RT,DT,PEF
172.51680000000002,4.52,,,,,
172.66920000000002,6.695,,,,,
172.82160000000002,8.87,,,,,
172.97400000000002,11.045,,,,,
173.12640000000002,10.967,,,,,
173.27880000000002,10.426,,,,,
173.43120000000002,9.884,,,,,
173.58360000000002,10.87,,,,,
173.73600000000002,13.112,,,,,
173.88840000000002,15.355,,,,,
174.04080000000002,16.541,,,,,
174.19320000000002,14.84,,,,,
174.34560000000002,13.139,,,,,
174.49800000000002,11.438,,,,,
174.65040000000002,10.576,,,,,
174.80280000000002,9.726,,,,,
174.95520000000002,8.875,,,,,
175.10760000000002,12.092,,,,,
175.26000000000002,17.002,,,,,
175.41240000000002,21.912,,,,,
175.56480000000002,29.32,,,,,
175.71720000000002,40.107,,,,,
175.86960000000002,50.893,,,,,
176.02200000000002,57.935,,,,,
176.17440000000002,42.78,,,,,
176.32680000000002,27.625,,,,,
176.47920000000002,12.47,,,,,
176.63160000000002,10.668,,,,,
176.78400000000002,10.978,,,,,
176.93640000000002,11.287,,,,,
177.08880000000002,11.416,,,,,
177.24120000000002,11.416,,,,,
177.39360000000002,11.416,,,,,
177.54600000000002,11.591,,,,,
177.69840000000002,12.171,,,,,
177.85080000000002,12.75,,,,,
178.00320000000002,13.344,,,,,
178.15560000000002,14.597,,,,,
178.30800000000002,15.849,,,,,
178.46040000000002,17.102,,,,,
178.61280000000002,17.178,,,,,
178.76520000000002,16.84,,,,,
178.91760000000002,16.503,,,,,
179.07000000000002,16.075,,,,,
179.22240000000002,15.54,,,,,
179.37480000000002,15.006,,,,,
179.52720000000002,14.416,,,,,
179.67960000000002,13.566,,,,,
179.83200000000002,12.717,,,,,
179.98440000000002,11.867,,,,,
180.13680000000002,11.264,,,,,
180.28920000000002,10.689,,,,,
180.44160000000002,10.114,,,,,
180.59400000000002,9.669,,,,,
180.74640000000002,9.304,,,,,
180.89880000000002,8.939,,,,,
181.05120000000002,9.139,,,,,
181.20360000000002,10.453,,,,,
181.35600000000002,11.768,,,,,
181.50840000000002,12.964,,,,,
181.66080000000002,12.13,,,,,
181.81320000000002,11.296,,,,,
181.96560000000002,10.463,,,,,
182.11800000000002,9.915,,,,,
182.27040000000002,9.451,,,,,
182.42280000000002,8.987,,,,,
182.57520000000002,10.125,,,,,
182.72760000000002,12.909,,,,,
182.88000000000002,15.693,,,,,
183.03240000000002,17.56,,,,,
183.18480000000002,16.032,,,,,
183.33720000000002,14.505,,,,,
183.48960000000002,12.978,,,,,
183.64200000000002,11.139,,,,,
183.79440000000002,9.277,,,,,
183.94680000000002,7.415,,,,,
184.09920000000002,7.876,,,,,
184.25160000000002,9.584,,,,,
184.40400000000002,11.291,,,,,
184.55640000000002,12.288,,,,,
184.70880000000002,12.076,,,,,
184.86120000000003,11.863,,,,,
185.01360000000003,11.577,,,,,
185.16600000000003,10.536,,,,,
185.31840000000003,9.495,,,,,
185.47080000000003,8.453,,,,,
185.62320000000003,8.137,,,,,
185.77560000000003,7.992,,,,,
185.92800000000003,7.848,,,,,
186.0804,7.304,,,,,
186.2328,6.401,,,,,
186.3852,5.499,,,,,
186.5376,5.036,,,,,
186.69,5.91,,,,,
186.8424,6.785,,,,,
186.9948,7.66,,,,,
187.1472,8.04,,,,,
187.2996,8.402,,,,,
187.452,8.764,,,,,
187.6044,9.885,,,,,
187.7568,11.354,,,,,
187.9092,12.824,,,,,
188.0616,13.355,,,,,
188.214,12.505,,,,,
188.3664,11.654,,,,,
188.5188,10.847,,,,,
188.6712,10.344,,,,,
188.8236,9.841,,,,,
188.976,9.338,,,,,
189.1284,9.385,,,,,
189.2808,9.535,,,,,
189.4332,9.685,,,,,
189.5856,10.34,,,,,
189.738,11.389,,,,,
189.8904,12.437,,,,,
190.0428,12.714,,,,,
190.1952,11.012,,,,,
190.3476,9.311,,,,,
190.5,7.61,,,,,
190.6524,8.434,,,,,
190.8048,9.257,,,,,
190.9572,10.08,,,,,
191.1096,10.904,,,,,
191.262,11.727,,,,,
191.4144,12.551,,,,,
191.5668,13.375,,,,,
191.7192,14.198,,,,,
191.8716,15.022,,,,,
192.024,15.845,,,,,
192.1764,16.669,,,,,
192.3288,17.492,,,,,
192.4812,18.316,,,,,
192.6336,17.794,,,,,
192.786,17.082,,,,,
192.9384,16.371,,,,,
193.0908,15.66,,,,,
193.2432,14.948,,,,,
193.3956,14.237,,,,,
193.548,13.526,,,,,
193.7004,12.814,,,,,
193.8528,12.103,,,,,
194.0052,11.406,,,,,
194.1576,11.116,,,,,
194.31,10.826,,,,,
194.4624,10.536,,,,,
194.6148,10.246,,,,,
194.7672,9.956,,,,,
194.9196,9.666,,,,,
195.072,9.376,,,,,
195.2244,9.086,,,,,
195.3768,8.796,,,,,
195.5292,8.506,,,,,
195.6816,8.216,,,,,
195.834,7.926,,,,,
195.9864,7.636,,,,,
196.1388,7.98,,,,,
196.2912,8.386,,,,,
196.4436,8.792,,,,,
196.596,9.198,,,,,
196.7484,9.604,,,,,
196.9008,10.01,,,,,
197.0532,10.416,,,,,
197.2056,10.822,,,,,
197.358,11.228,,,,,
197.5104,11.634,,,,,
197.6628,12.04,,,,,
197.8152,12.446,,,,,
197.9676,12.852,,,,,
198.12,13.303,,,,,
198.2724,13.767,,,,,
198.4248,14.231,,,,,
198.5772,14.695,,,,,
198.7296,15.159,,,,,
198.882,15.623,,,,,
199.0344,15.912,,,,,
199.1868,15.603,,,,,
199.3392,15.294,,,,,
199.4916,14.984,,,,,
199.644,14.675,,,,,
199.7964,14.366,,,,,
199.9488,14.057,,,,,
200.1012,13.747,,,,,
200.2536,13.438,,,,,
200.406,13.129,,,,,
200.5584,12.981,,,,,
200.7108,13.093,,,,,
200.8632,13.206,,,,,
201.0156,13.318,,,,,
201.168,13.43,,,,,
201.3204,13.542,,,,,
201.4728,13.655,,,,,
201.6252,14.951,,,,,
201.7776,16.505,,,,,
201.93,18.059,,,,,
202.0824,20.445,,,,,
202.2348,23.538,,,,,
