DEPTH,GR,NPHI,RHOB,RT,DT
2560.0152000000003,41.58,,,230.93,
2560.1676,37.45,,,167.45,
2560.32,34.84,,,5000.0,
2560.4724,33.72,,,5000.0,
2560.6248,34.65,,,5000.0,
2560.7772,32.96,,,5000.0,
2560.9296,33.8,,,5000.0,
2561.0820000000003,39.61,,,0.1,
2561.2344000000003,44.94,,,5000.0,
2561.3868,49.54,,,2.09,
2561.5392,52.71,,,0.79,
2561.6916,55.52,,,1.02,
2561.844,56.33,,,108.6,
2561.9964,55.69,,,7.78,
2562.1488,56.98,,,0.72,
2562.3012000000003,54.56,,,0.74,
2562.4536000000003,53.53,,,0.68,
2562.606,50.72,,,0.68,
2562.7584,49.79,,,0.7,
2562.9108,47.27,,,0.69,
2563.0632,47.1,,,0.69,
2563.2156,49.99,,,0.74,
2563.368,48.7,,,0.72,
2563.5204000000003,45.98,,,0.65,
2563.6728000000003,42.05,,,0.65,
2563.8252,42.58,,,0.68,
2563.9776,43.62,,,0.77,
2564.13,42.67,,,0.81,
2564.2824,42.3,,,0.74,
2564.4348,39.02,,,0.73,
2564.5872,38.74,,,0.81,
2564.7396000000003,35.09,,,0.85,
2564.8920000000003,38.57,,,0.87,
2565.0444,42.14,,,0.94,
2565.1968,49.15,,,1.12,
2565.3492,49.4,,,1.07,
2565.5016,47.16,,,1.06,
2565.654,44.63,,,0.95,
2565.8064,46.62,,,0.83,
2565.9588000000003,43.17,,,0.73,
2566.1112000000003,41.13,,,0.7,
2566.2636,35.04,,,0.75,
2566.416,38.69,,,0.88,
2566.5684,41.49,,,0.99,
2566.7208,45.05,,,1.04,
2566.8732,43.37,,,1.1,
2567.0256,41.97,,,1.16,
2567.1780000000003,40.09,,,1.12,
2567.3304000000003,41.94,,,1.13,
2567.4828,43.43,,,1.13,
2567.6352,45.39,,,1.13,
2567.7876,43.82,,,1.12,
2567.94,42.7,,,1.08,
2568.0924,43.82,,,1.26,
2568.2448,45.98,,,1.21,
2568.3972000000003,46.74,,,1.47,
2568.5496000000003,45.42,,,1.69,
2568.702,45.95,,,2.22,
2568.8544,46.32,,,1.86,
2569.0068,45.95,,,1.3,
2569.1592,48.03,,,1.12,
2569.3116,46.46,,,1.49,
2569.464,48.22,,,3.87,
2569.6164000000003,45.22,,,2.02,
2569.7688000000003,48.95,,,1.33,
2569.9212,50.64,,,1.51,
2570.0736,53.83,,,3.1,
2570.226,54.68,,,4.78,
2570.3784,53.47,,,8.82,
2570.5308,52.24,,,7.52,
2570.6832,48.67,,,43.77,
2570.8356000000003,51.0,,,25.46,
2570.9880000000003,53.53,,,112.96,
2571.1404,58.38,,,3.65,
2571.2928,58.86,,,5.01,
2571.4452,60.09,,,14.16,
2571.5976,57.96,,,19.42,
2571.75,56.47,,,10.32,
2571.9024,52.54,,,12.36,
2572.0548000000003,52.35,,,0.61,
2572.2072000000003,52.71,,,0.63,
2572.3596000000002,54.76,,,1.04,
2572.512,55.32,,,1.34,
2572.6644,54.28,,,1.3,
2572.8168,52.88,,,1.75,
2572.9692,54.11,,,2.04,
2573.1216,53.39,,,1.22,
2573.2740000000003,53.02,,,1.01,
2573.4264000000003,50.5,,,1.67,
2573.5788000000002,53.83,,,1.71,
2573.7312,54.28,,,1.36,
2573.8836,52.49,,,1.33,
2574.036,48.95,,,1.85,
2574.1884,52.71,,,2.69,
2574.3408,55.91,,,2.52,
